bit_index, EMD
3027, 1.312507140508755
446, 1.312436339295822
1115, 1.3123731283157642
8112, 1.3123148394541302
2296, 1.3122921456088688
6531, 1.3122709191305049
8796, 1.312212753126527
1736, 1.312199271842863
8445, 1.3121922746974173
3075, 1.3121433481562366
4957, 1.3120496849510705
8401, 1.3120142581923289
3440, 1.311983495116111
4301, 1.311958170679389
1846, 1.3119281737099189
4332, 1.3119260754351987
2090, 1.3119223139089713
4346, 1.3118875316276513
5015, 1.3118374260308447
3475, 1.3118370339201275
4566, 1.311765188580647
8156, 1.3117573310936028
8040, 1.311686673244357
4977, 1.3115052131880567
102, 1.3114981420044254
1811, 1.3114647514161009
2670, 1.3114580432366072
